category,avg_score,negative_reviews,primary_reason
bed_table_bath,1.24,1968,Delivery delay / logistics reliability
furniture_decoration,1.24,1448,Delivery delay / logistics reliability
computer_accessories,1.20,1280,Delivery delay / logistics reliability
beauty_health,1.19,1166,Delivery delay / logistics reliability
sports_leisure,1.20,1085,Delivery delay / logistics reliability
household_utilities,1.25,956,Delivery delay / logistics reliability
watches_gifts,1.23,861,Delivery delay / logistics reliability
telephony,1.25,683,Delivery delay / logistics reliability
garden_tools,1.21,639,Delivery delay / logistics reliability
automotive,1.24,568,Delivery delay / logistics reliability
